Experiment.name	Date	Day.of.Year	Soil.layer.base.depth	Soil.layer.thikness	SoilW.layer.cm3.cm3	SoilW.layer.mm	SoilN.layer.ppm	SoilN.layer.kg.ha
ETBA1301	2013-12-29	363	35	10	0.162	16	.	.
ETBA1301	2013-06-05	156	50	15	0.237	36	.	.
ETBA1301	2013-06-22	173	50	15	0.176	26	.	.
ETBA1301	2013-07-14	195	50	15	0.494	74	.	.
ETBA1301	2013-06-30	181	50	15	0.440	66	.	.
ETBA1301	2013-07-27	208	50	15	0.456	68	.	.
ETBA1301	2013-08-11	223	50	15	0.466	70	.	.
ETBA1301	2013-08-25	237	50	15	0.459	69	.	.
ETBA1301	2013-09-13	256	50	15	0.447	67	.	.
ETBA1301	2013-09-21	264	50	15	0.459	69	.	.
ETBA1301	2013-10-07	280	50	15	0.396	59	.	.
ETBA1301	2013-10-20	293	50	15	0.445	67	.	.
ETBA1301	2013-11-03	307	50	15	0.386	58	.	.
ETBA1301	2013-11-17	321	50	15	0.440	66	.	.
ETBA1301	2013-11-30	334	50	15	0.396	59	.	.
ETBA1301	2013-12-29	363	50	15	0.335	50	.	.
ETBA1301	2013-06-05	156	80	30	0.199	60	.	.
ETBA1301	2013-06-22	173	80	30	0.205	62	.	.
ETBA1301	2013-07-14	195	80	30	0.491	147	.	.
ETBA1301	2013-06-30	181	80	30	0.455	137	.	.
ETBA1301	2013-07-27	208	80	30	0.483	145	.	.
ETBA1301	2013-08-11	223	80	30	0.494	148	.	.
ETBA1301	2013-08-25	237	80	30	0.483	145	.	.
ETBA1301	2013-09-13	256	80	30	0.470	141	.	.
ETBA1301	2013-09-21	264	80	30	0.478	143	.	.
ETBA1301	2013-10-07	280	80	30	0.452	136	.	.
ETBA1301	2013-10-20	293	80	30	0.462	139	.	.
ETBA1301	2013-11-03	307	80	30	0.408	122	.	.
ETBA1301	2013-11-17	321	80	30	0.448	134	.	.
ETBA1301	2013-11-30	334	80	30	0.438	131	.	.
ETBA1301	2013-12-29	363	80	30	0.412	124	.	.
ETBA1301	2013-06-05	156	100	20	0.206	41	.	.
ETBA1301	2013-06-22	173	100	20	0.245	49	.	.
ETBA1301	2013-07-14	195	100	20	0.404	81	.	.
ETBA1301	2013-06-30	181	100	20	0.303	61	.	.
ETBA1301	2013-07-27	208	100	20	0.285	57	.	.
ETBA1301	2013-08-11	223	100	20	0.322	64	.	.
ETBA1301	2013-08-25	237	100	20	0.347	69	.	.
ETBA1301	2013-09-13	256	100	20	0.333	67	.	.
ETBA1301	2013-09-21	264	100	20	0.351	70	.	.
ETBA1301	2013-10-07	280	100	20	0.370	74	.	.
ETBA1301	2013-10-20	293	100	20	0.337	67	.	.
ETBA1301	2013-11-03	307	100	20	0.265	53	.	.
ETBA1301	2013-11-17	321	100	20	0.277	55	.	.
ETBA1301	2013-11-30	334	100	20	0.251	50	.	.
ETBA1301	2013-12-29	363	100	20	0.247	49	.	.
BEOU1501	2015-07-16		20	20	0.192	38	2.64	7.4
BEOU1501	2015-07-22		20	20	0.196	39	9.33	26.1
BEOU1501	2015-07-29		20	20	0.184	37	10.97	30.7
BEOU1501	2015-08-12		20	20	0.263	53	6.07	17.0
BEOU1501	2015-08-26		20	20	0.209	42	8.32	23.3
BEOU1501	2015-09-09		20	20	0.219	44	9.03	25.3
BEOU1501	2015-09-23		20	20	0.230	46	9.29	26.0
BEOU1501	2015-10-06		20	20	0.230	46	7.84	22.0
BEOU1501	2015-07-16		40	20	0.261	52	1.86	5.2
BEOU1501	2015-07-22		40	20	0.271	54	7.77	21.7
BEOU1501	2015-07-29		40	20	0.234	47	7.07	19.8
BEOU1501	2015-08-12		40	20	0.257	51	5.20	14.6
BEOU1501	2015-08-26		40	20	0.264	53	5.31	14.9
BEOU1501	2015-09-09		40	20	0.255	51	6.98	19.5
BEOU1501	2015-09-23		40	20	0.291	58	6.74	18.9
BEOU1501	2015-10-06		40	20	0.239	48	6.50	18.2
BEOU1501	2015-07-16		60	20	0.225	45	2.64	7.4
BEOU1501	2015-07-22		60	20	0.290	58	8.70	24.4
BEOU1501	2015-07-29		60	20	0.307	61	7.53	21.1
BEOU1501	2015-08-12		60	20	0.331	66	5.55	15.5
BEOU1501	2015-08-26		60	20	0.289	58	6.50	18.2
BEOU1501	2015-09-09		60	20	0.360	72	7.46	20.9
BEOU1501	2015-09-23		60	20	0.310	62	7.22	20.2
BEOU1501	2015-10-06		60	20	0.270	54	7.10	19.9
