Experiment.name	Date	Day.of.Year	Soil.layer.base.depth	Soil.layer.thikness	SoilW.layer.cm3.cm3	SoilW.layer.mm	SoilN.layer.ppm	SoilN.layer.kg.ha
ETBA1401	2014-03-01	60	25	10	0.071	7	na	na
ETBA1401	2014-04-03	93	25	10	0.053	5	na	na
ETBA1401	2014-05-08	128	25	10	0.078	8	na	na
ETBA1401	2014-05-31	151	25	10	0.164	16	na	na
ETBA1401	2014-06-15	166	25	10	0.298	30	na	na
ETBA1401	2014-06-29	180	25	10	0.282	28	na	na
ETBA1401	2014-07-13	194	25	10	0.286	29	na	na
ETBA1401	2014-07-27	208	25	10	0.321	32	na	na
ETBA1401	2014-08-10	222	25	10	0.301	30	na	na
ETBA1401	2014-08-17	229	25	10	0.321	32	na	na
ETBA1401	2014-08-31	243	25	10	0.406	41	na	na
ETBA1401	2014-01-26	26	35	10	0.166	17	na	na
ETBA1401	2014-03-01	60	35	10	0.123	12	na	na
ETBA1401	2014-04-03	93	35	10	0.096	10	na	na
ETBA1401	2014-05-08	128	35	10	0.142	14	na	na
ETBA1401	2014-05-31	151	35	10	0.228	23	na	na
ETBA1401	2014-06-15	166	35	10	0.291	29	na	na
ETBA1401	2014-06-29	180	35	10	0.364	36	na	na
ETBA1401	2014-07-13	194	35	10	0.367	37	na	na
ETBA1401	2014-07-27	208	35	10	0.386	39	na	na
ETBA1401	2014-08-10	222	35	10	0.364	36	na	na
ETBA1401	2014-08-17	229	35	10	0.366	37	na	na
ETBA1401	2014-08-31	243	35	10	0.443	44	na	na
ETBA1401	2014-01-26	26	50	15	0.328	49	na	na
ETBA1401	2014-03-01	60	50	15	0.223	33	na	na
ETBA1401	2014-04-03	93	50	15	0.183	27	na	na
ETBA1401	2014-05-08	128	50	15	0.241	36	na	na
ETBA1401	2014-05-31	151	50	15	0.327	49	na	na
ETBA1401	2014-06-15	166	50	15	0.381	57	na	na
ETBA1401	2014-06-29	180	50	15	0.427	64	na	na
ETBA1401	2014-07-13	194	50	15	0.442	66	na	na
ETBA1401	2014-07-27	208	50	15	0.467	70	na	na
ETBA1401	2014-08-10	222	50	15	0.488	73	na	na
ETBA1401	2014-08-17	229	50	15	0.493	74	na	na
ETBA1401	2014-08-31	243	50	15	0.500	75	na	na
ETBA1401	2014-01-26	26	80	30	0.398	119	na	na
ETBA1401	2014-03-01	60	80	30	0.253	76	na	na
ETBA1401	2014-04-03	93	80	30	0.217	65	na	na
ETBA1401	2014-05-08	128	80	30	0.278	83	na	na
ETBA1401	2014-05-31	151	80	30	0.391	117	na	na
ETBA1401	2014-06-15	166	80	30	0.475	143	na	na
ETBA1401	2014-06-29	180	80	30	0.473	142	na	na
ETBA1401	2014-07-13	194	80	30	0.425	128	na	na
ETBA1401	2014-07-27	208	80	30	0.373	112	na	na
ETBA1401	2014-08-10	222	80	30	0.327	98	na	na
ETBA1401	2014-08-17	229	80	30	0.337	101	na	na
ETBA1401	2014-08-31	243	80	30	0.520	156	na	na
ETBA1401	2014-01-26	26	100	20	0.269	54	na	na
ETBA1401	2014-03-01	60	100	20	0.212	42	na	na
ETBA1401	2014-04-03	93	100	20	0.208	42	na	na
ETBA1401	2014-05-08	128	100	20	0.253	51	na	na
ETBA1401	2014-05-31	151	100	20	0.274	55	na	na
ETBA1401	2014-06-15	166	100	20	0.225	45	na	na
ETBA1401	2014-06-29	180	100	20	0.257	51	na	na
ETBA1401	2014-07-13	194	100	20	na	na	na	na
ETBA1401	2014-07-27	208	100	20	na	na	na	na
ETBA1401	2014-08-10	222	100	20	na	na	na	na
ETBA1401	2014-08-17	229	100	20	na	na	na	na
ETBA1401	2014-08-31	243	100	20	0.043	9	na	na
ETBA1301	2013-06-05	156	15	15	0.128	19	na	na
ETBA1301	2013-06-22	173	15	15	0.148	22	na	na
ETBA1301	2013-07-14	195	15	15	0.198	30	na	na
ETBA1301	2013-06-30	181	15	15	0.145	22	na	na
ETBA1301	2013-07-27	208	15	15	0.251	38	na	na
ETBA1301	2013-08-11	223	15	15	0.287	43	na	na
ETBA1301	2013-08-25	237	15	15	0.276	41	na	na
ETBA1301	2013-09-13	256	15	15	0.344	52	na	na
ETBA1301	2013-09-21	264	15	15	0.295	44	na	na
ETBA1301	2013-10-07	280	15	15	0.165	25	na	na
ETBA1301	2013-10-20	293	15	15	0.145	22	na	na
ETBA1301	2013-11-03	307	15	15	0.062	9	na	na
ETBA1301	2013-11-17	321	15	15	0.058	9	na	na
ETBA1301	2013-11-30	334	15	15	0.044	7	na	na
ETBA1301	2013-12-29	363	15	15	0.005	1	na	na
ETBA1301	2013-06-05	156	25	10	0.151	15	na	na
ETBA1301	2013-06-22	173	25	10	0.325	33	na	na
ETBA1301	2013-07-14	195	25	10	0.287	29	na	na
ETBA1301	2013-06-30	181	25	10	0.200	20	na	na
ETBA1301	2013-07-27	208	25	10	0.292	29	na	na
ETBA1301	2013-08-11	223	25	10	0.409	41	na	na
ETBA1301	2013-08-25	237	25	10	0.291	29	na	na
ETBA1301	2013-09-13	256	25	10	0.292	29	na	na
ETBA1301	2013-09-21	264	25	10	0.284	28	na	na
ETBA1301	2013-10-07	280	25	10	0.253	25	na	na
ETBA1301	2013-10-20	293	25	10	0.217	22	na	na
ETBA1301	2013-11-03	307	25	10	0.147	15	na	na
ETBA1301	2013-11-17	321	25	10	0.115	12	na	na
ETBA1301	2013-11-30	334	25	10	0.122	12	na	na
ETBA1301	2013-12-29	363	25	10	0.088	9	na	na
ETBA1301	2013-06-05	156	35	10	0.231	23	na	na
ETBA1301	2013-06-22	173	35	10	na	na	na	na
ETBA1301	2013-07-14	195	35	10	0.336	34	na	na
ETBA1301	2013-06-30	181	35	10	0.275	28	na	na
ETBA1301	2013-07-27	208	35	10	0.342	34	na	na
ETBA1301	2013-08-11	223	35	10	0.373	37	na	na
ETBA1301	2013-08-25	237	35	10	0.354	35	na	na
ETBA1301	2013-09-13	256	35	10	0.344	34	na	na
ETBA1301	2013-09-21	264	35	10	0.348	35	na	na
ETBA1301	2013-10-07	280	35	10	0.308	31	na	na
ETBA1301	2013-10-20	293	35	10	0.320	32	na	na
ETBA1301	2013-11-03	307	35	10	0.223	22	na	na
ETBA1301	2013-11-17	321	35	10	0.216	22	na	na
ETBA1301	2013-11-30	334	35	10	0.202	20	na	na
ETBA1301	2013-12-29	363	35	10	0.162	16	na	na
ETBA1301	2013-06-05	156	50	15	0.237	36	na	na
ETBA1301	2013-06-22	173	50	15	0.176	26	na	na
ETBA1301	2013-07-14	195	50	15	0.494	74	na	na
ETBA1301	2013-06-30	181	50	15	0.440	66	na	na
ETBA1301	2013-07-27	208	50	15	0.456	68	na	na
ETBA1301	2013-08-11	223	50	15	0.466	70	na	na
ETBA1301	2013-08-25	237	50	15	0.459	69	na	na
ETBA1301	2013-09-13	256	50	15	0.447	67	na	na
ETBA1301	2013-09-21	264	50	15	0.459	69	na	na
ETBA1301	2013-10-07	280	50	15	0.396	59	na	na
ETBA1301	2013-10-20	293	50	15	0.445	67	na	na
ETBA1301	2013-11-03	307	50	15	0.386	58	na	na
ETBA1301	2013-11-17	321	50	15	0.440	66	na	na
ETBA1301	2013-11-30	334	50	15	0.396	59	na	na
ETBA1301	2013-12-29	363	50	15	0.335	50	na	na
ETBA1301	2013-06-05	156	80	30	0.199	60	na	na
ETBA1301	2013-06-22	173	80	30	0.205	62	na	na
ETBA1301	2013-07-14	195	80	30	0.491	147	na	na
ETBA1301	2013-06-30	181	80	30	0.455	137	na	na
ETBA1301	2013-07-27	208	80	30	0.483	145	na	na
ETBA1301	2013-08-11	223	80	30	0.494	148	na	na
ETBA1301	2013-08-25	237	80	30	0.483	145	na	na
ETBA1301	2013-09-13	256	80	30	0.470	141	na	na
ETBA1301	2013-09-21	264	80	30	0.478	143	na	na
ETBA1301	2013-10-07	280	80	30	0.452	136	na	na
ETBA1301	2013-10-20	293	80	30	0.462	139	na	na
ETBA1301	2013-11-03	307	80	30	0.408	122	na	na
ETBA1301	2013-11-17	321	80	30	0.448	134	na	na
ETBA1301	2013-11-30	334	80	30	0.438	131	na	na
ETBA1301	2013-12-29	363	80	30	0.412	124	na	na
ETBA1301	2013-06-05	156	100	20	0.206	41	na	na
ETBA1301	2013-06-22	173	100	20	0.245	49	na	na
ETBA1301	2013-07-14	195	100	20	0.404	81	na	na
ETBA1301	2013-06-30	181	100	20	0.303	61	na	na
ETBA1301	2013-07-27	208	100	20	0.285	57	na	na
ETBA1301	2013-08-11	223	100	20	0.322	64	na	na
ETBA1301	2013-08-25	237	100	20	0.347	69	na	na
ETBA1301	2013-09-13	256	100	20	0.333	67	na	na
ETBA1301	2013-09-21	264	100	20	0.351	70	na	na
ETBA1301	2013-10-07	280	100	20	0.370	74	na	na
ETBA1301	2013-10-20	293	100	20	0.337	67	na	na
ETBA1301	2013-11-03	307	100	20	0.265	53	na	na
ETBA1301	2013-11-17	321	100	20	0.277	55	na	na
ETBA1301	2013-11-30	334	100	20	0.251	50	na	na
ETBA1301	2013-12-29	363	100	20	0.247	49	na	na
BEOU1501	2015-07-16		20	20	0.192	38	2.64	7.4
BEOU1501	2015-07-22		20	20	0.196	39	9.33	26.1
BEOU1501	2015-07-29		20	20	0.184	37	10.97	30.7
BEOU1501	2015-08-12		20	20	0.263	53	6.07	17.0
BEOU1501	2015-08-26		20	20	0.209	42	8.32	23.3
BEOU1501	2015-09-09		20	20	0.219	44	9.03	25.3
BEOU1501	2015-09-23		20	20	0.230	46	9.29	26.0
BEOU1501	2015-10-06		20	20	0.230	46	7.84	22.0
BEOU1501	2015-07-16		40	20	0.261	52	1.86	5.2
BEOU1501	2015-07-22		40	20	0.271	54	7.77	21.7
BEOU1501	2015-07-29		40	20	0.234	47	7.07	19.8
BEOU1501	2015-08-12		40	20	0.257	51	5.20	14.6
BEOU1501	2015-08-26		40	20	0.264	53	5.31	14.9
BEOU1501	2015-09-09		40	20	0.255	51	6.98	19.5
BEOU1501	2015-09-23		40	20	0.291	58	6.74	18.9
BEOU1501	2015-10-06		40	20	0.239	48	6.50	18.2
BEOU1501	2015-07-16		60	20	0.225	45	2.64	7.4
BEOU1501	2015-07-22		60	20	0.290	58	8.70	24.4
BEOU1501	2015-07-29		60	20	0.307	61	7.53	21.1
BEOU1501	2015-08-12		60	20	0.331	66	5.55	15.5
BEOU1501	2015-08-26		60	20	0.289	58	6.50	18.2
BEOU1501	2015-09-09		60	20	0.360	72	7.46	20.9
BEOU1501	2015-09-23		60	20	0.310	62	7.22	20.2
BEOU1501	2015-10-06		60	20	0.270	54	7.10	19.9
